Total tracks: 1055
Total bus tracks: 281
Bus crossed: 87

--- BUS CROSSING EVENTS ---
Track   4: crossed at 587, lifespan 91, frames 540-630, not_counted_reason: 
Track  30: crossed at 4907, lifespan 31, frames 4880-4910, not_counted_reason: 
Track  32: crossed at 5215, lifespan 123, frames 5176-5298, not_counted_reason: 
Track  52: crossed at 7351, lifespan 283, frames 7336-7618, not_counted_reason: 
Track  47: crossed at 7359, lifespan 91, frames 7300-7390, not_counted_reason: 
Track  49: crossed at 7379, lifespan 99, frames 7312-7410, not_counted_reason: 
Track 318: crossed at 25191, lifespan 11, frames 25188-25198, not_counted_reason: 
Track 331: crossed at 25479, lifespan 52, frames 25432-25483, not_counted_reason: 
Track 330: crossed at 25485, lifespan 459, frames 25408-25866, not_counted_reason: 
Track 337: crossed at 25495, lifespan 87, frames 25488-25574, not_counted_reason: 
Track 333: crossed at 25539, lifespan 128, frames 25439-25566, not_counted_reason: 
Track 327: crossed at 25659, lifespan 295, frames 25372-25666, not_counted_reason: 
Track 349: crossed at 25900, lifespan 41, frames 25890-25930, not_counted_reason: 
Track 356: crossed at 25908, lifespan 35, frames 25896-25930, not_counted_reason: 
Track 345: crossed at 25920, lifespan 107, frames 25880-25986, not_counted_reason: 
Track 340: crossed at 25927, lifespan 63, frames 25868-25930, not_counted_reason: 
Track 376: crossed at 26435, lifespan 219, frames 26428-26646, not_counted_reason: 
Track 377: crossed at 26447, lifespan 88, frames 26428-26515, not_counted_reason: 
Track 381: crossed at 26479, lifespan 67, frames 26440-26506, not_counted_reason: 
Track 383: crossed at 26479, lifespan 59, frames 26448-26506, not_counted_reason: 
Track 389: crossed at 26484, lifespan 23, frames 26484-26506, not_counted_reason: Never crossed counting line
Track 379: crossed at 26495, lifespan 71, frames 26440-26510, not_counted_reason: 
Track 378: crossed at 26500, lifespan 79, frames 26428-26506, not_counted_reason: 
Track 406: crossed at 26835, lifespan 75, frames 26832-26906, not_counted_reason: 
Track 407: crossed at 26840, lifespan 55, frames 26832-26886, not_counted_reason: 
Track 401: crossed at 26847, lifespan 51, frames 26828-26878, not_counted_reason: 
Track 396: crossed at 26851, lifespan 67, frames 26820-26886, not_counted_reason: 
Track 399: crossed at 26872, lifespan 71, frames 26828-26898, not_counted_reason: 
Track 408: crossed at 26887, lifespan 130, frames 26832-26961, not_counted_reason: 
Track 410: crossed at 26888, lifespan 39, frames 26852-26890, not_counted_reason: 
Track 411: crossed at 26888, lifespan 15, frames 26876-26890, not_counted_reason: 
Track 397: crossed at 26891, lifespan 67, frames 26828-26894, not_counted_reason: 
Track 434: crossed at 28207, lifespan 71, frames 28148-28218, not_counted_reason: 
Track 488: crossed at 32215, lifespan 43, frames 32176-32218, not_counted_reason: 
Track 489: crossed at 32247, lifespan 73, frames 32182-32254, not_counted_reason: 
Track 517: crossed at 34478, lifespan 31, frames 34456-34486, not_counted_reason: 
Track 526: crossed at 35302, lifespan 17, frames 35288-35304, not_counted_reason: 
Track 529: crossed at 35307, lifespan 59, frames 35291-35349, not_counted_reason: 
Track 602: crossed at 41203, lifespan 79, frames 41200-41278, not_counted_reason: 
Track 601: crossed at 41212, lifespan 59, frames 41200-41258, not_counted_reason: 
Track 604: crossed at 41221, lifespan 47, frames 41204-41250, not_counted_reason: 
Track 608: crossed at 41228, lifespan 55, frames 41224-41278, not_counted_reason: 
Track 609: crossed at 41239, lifespan 55, frames 41224-41278, not_counted_reason: 
Track 623: crossed at 41519, lifespan 43, frames 41480-41522, not_counted_reason: 
Track 649: crossed at 44579, lifespan 47, frames 44552-44598, not_counted_reason: 
Track 667: crossed at 46343, lifespan 35, frames 46324-46358, not_counted_reason: 
Track 683: crossed at 47579, lifespan 51, frames 47560-47610, not_counted_reason: 
Track 682: crossed at 47587, lifespan 147, frames 47560-47706, not_counted_reason: 
Track 687: crossed at 48723, lifespan 76, frames 48683-48758, not_counted_reason: 
Track 700: crossed at 49462, lifespan 50, frames 49440-49489, not_counted_reason: 
Track 706: crossed at 50022, lifespan 48, frames 49991-50038, not_counted_reason: 
Track 712: crossed at 50022, lifespan 27, frames 50000-50026, not_counted_reason: 
Track 720: crossed at 50963, lifespan 48, frames 50920-50967, not_counted_reason: 
Track 745: crossed at 55552, lifespan 115, frames 55512-55626, not_counted_reason: 
Track 747: crossed at 55571, lifespan 87, frames 55520-55606, not_counted_reason: 
Track 750: crossed at 55631, lifespan 133, frames 55526-55658, not_counted_reason: 
Track 770: crossed at 57000, lifespan 131, frames 56992-57122, not_counted_reason: 
Track 764: crossed at 57003, lifespan 83, frames 56980-57062, not_counted_reason: 
Track 773: crossed at 57004, lifespan 59, frames 56992-57050, not_counted_reason: 
Track 774: crossed at 57008, lifespan 95, frames 56992-57086, not_counted_reason: 
Track 772: crossed at 57019, lifespan 195, frames 56992-57186, not_counted_reason: 
Track 777: crossed at 57024, lifespan 59, frames 57020-57078, not_counted_reason: 
Track 765: crossed at 57051, lifespan 83, frames 56984-57066, not_counted_reason: 
Track 767: crossed at 57059, lifespan 79, frames 56984-57062, not_counted_reason: 
Track 769: crossed at 57063, lifespan 79, frames 56992-57070, not_counted_reason: 
Track 855: crossed at 63407, lifespan 29, frames 63400-63428, not_counted_reason: 
Track 846: crossed at 63420, lifespan 288, frames 63331-63618, not_counted_reason: 
Track 850: crossed at 63439, lifespan 207, frames 63383-63589, not_counted_reason: 
Track 849: crossed at 63442, lifespan 74, frames 63371-63444, not_counted_reason: 
Track 847: crossed at 63446, lifespan 108, frames 63351-63458, not_counted_reason: 
Track 865: crossed at 64943, lifespan 47, frames 64900-64946, not_counted_reason: 
Track 897: crossed at 68780, lifespan 271, frames 68740-69010, not_counted_reason: 
Track 902: crossed at 68799, lifespan 207, frames 68760-68966, not_counted_reason: 
Track 900: crossed at 68808, lifespan 67, frames 68752-68818, not_counted_reason: 
Track 907: crossed at 70100, lifespan 151, frames 70068-70218, not_counted_reason: 
Track 910: crossed at 70119, lifespan 53, frames 70072-70124, not_counted_reason: 
Track 909: crossed at 70149, lifespan 107, frames 70072-70178, not_counted_reason: 
Track 957: crossed at 79059, lifespan 75, frames 78991-79065, not_counted_reason: 
Track 975: crossed at 80211, lifespan 51, frames 80172-80222, not_counted_reason: 
Track 973: crossed at 80219, lifespan 83, frames 80160-80242, not_counted_reason: 
Track 976: crossed at 80223, lifespan 47, frames 80180-80226, not_counted_reason: 
Track 1037: crossed at 87299, lifespan 127, frames 87180-87306, not_counted_reason: 
Track 1039: crossed at 87319, lifespan 55, frames 87268-87322, not_counted_reason: 
Track 1060: crossed at 88722, lifespan 59, frames 88712-88770, not_counted_reason: 
Track 1061: crossed at 88723, lifespan 147, frames 88720-88866, not_counted_reason: 
Track 1062: crossed at 88732, lifespan 43, frames 88724-88766, not_counted_reason: 
Track 1058: crossed at 88751, lifespan 59, frames 88700-88758, not_counted_reason: 

--- BUS FRAGMENTATION ---
Overlap: Track 46 (7268-7346) & Track 47 (7300-7390) overlap: 46
Overlap: Track 46 (7268-7346) & Track 48 (7308-7378) overlap: 38
Overlap: Track 46 (7268-7346) & Track 49 (7312-7410) overlap: 34
Overlap: Track 46 (7268-7346) & Track 50 (7312-7346) overlap: 34
Overlap: Track 46 (7268-7346) & Track 51 (7328-7374) overlap: 18
Overlap: Track 46 (7268-7346) & Track 52 (7336-7618) overlap: 10
Overlap: Track 47 (7300-7390) & Track 48 (7308-7378) overlap: 82
Overlap: Track 47 (7300-7390) & Track 49 (7312-7410) overlap: 78
Overlap: Track 47 (7300-7390) & Track 50 (7312-7346) overlap: 78
Overlap: Track 47 (7300-7390) & Track 51 (7328-7374) overlap: 62
Overlap: Track 47 (7300-7390) & Track 52 (7336-7618) overlap: 54
Overlap: Track 48 (7308-7378) & Track 49 (7312-7410) overlap: 66
Overlap: Track 48 (7308-7378) & Track 50 (7312-7346) overlap: 66
Overlap: Track 48 (7308-7378) & Track 51 (7328-7374) overlap: 50
Overlap: Track 48 (7308-7378) & Track 52 (7336-7618) overlap: 42
Overlap: Track 49 (7312-7410) & Track 50 (7312-7346) overlap: 98
Overlap: Track 49 (7312-7410) & Track 51 (7328-7374) overlap: 82
Overlap: Track 49 (7312-7410) & Track 52 (7336-7618) overlap: 74
Overlap: Track 50 (7312-7346) & Track 51 (7328-7374) overlap: 18
Overlap: Track 50 (7312-7346) & Track 52 (7336-7618) overlap: 10
Overlap: Track 51 (7328-7374) & Track 52 (7336-7618) overlap: 38
Overlap: Track 192 (15468-15473) & Track 193 (15468-15490) overlap: 5
Overlap: Track 192 (15468-15473) & Track 194 (15468-15486) overlap: 5
Overlap: Track 193 (15468-15490) & Track 194 (15468-15486) overlap: 22
Overlap: Track 258 (20737-20790) & Track 259 (20769-20775) overlap: 21
Overlap: Track 258 (20737-20790) & Track 260 (20769-20787) overlap: 21
Overlap: Track 258 (20737-20790) & Track 262 (20772-20775) overlap: 18
Overlap: Track 258 (20737-20790) & Track 264 (20772-20807) overlap: 18
Overlap: Track 258 (20737-20790) & Track 265 (20772-20778) overlap: 18
Overlap: Track 259 (20769-20775) & Track 260 (20769-20787) overlap: 6
Overlap: Track 259 (20769-20775) & Track 262 (20772-20775) overlap: 3
Overlap: Track 259 (20769-20775) & Track 264 (20772-20807) overlap: 3
Overlap: Track 259 (20769-20775) & Track 265 (20772-20778) overlap: 3
Overlap: Track 260 (20769-20787) & Track 262 (20772-20775) overlap: 15
Overlap: Track 260 (20769-20787) & Track 264 (20772-20807) overlap: 15
Overlap: Track 260 (20769-20787) & Track 265 (20772-20778) overlap: 15
Overlap: Track 262 (20772-20775) & Track 264 (20772-20807) overlap: 3
Overlap: Track 262 (20772-20775) & Track 265 (20772-20778) overlap: 3
Overlap: Track 264 (20772-20807) & Track 265 (20772-20778) overlap: 35
Overlap: Track 313 (25160-25186) & Track 314 (25168-25194) overlap: 18
Overlap: Track 313 (25160-25186) & Track 315 (25168-25190) overlap: 18
Overlap: Track 313 (25160-25186) & Track 316 (25168-25194) overlap: 18
Overlap: Track 313 (25160-25186) & Track 317 (25170-25194) overlap: 16
Fragment: Track 313 (ends 25186) -> Track 318 (starts 25188) gap: 2
Fragment: Track 313 (ends 25186) -> Track 319 (starts 25188) gap: 2
Overlap: Track 314 (25168-25194) & Track 315 (25168-25190) overlap: 26
Overlap: Track 314 (25168-25194) & Track 316 (25168-25194) overlap: 26
Overlap: Track 314 (25168-25194) & Track 317 (25170-25194) overlap: 24
Overlap: Track 314 (25168-25194) & Track 318 (25188-25198) overlap: 6
Overlap: Track 314 (25168-25194) & Track 319 (25188-25198) overlap: 6
Overlap: Track 315 (25168-25190) & Track 316 (25168-25194) overlap: 22
Overlap: Track 315 (25168-25190) & Track 317 (25170-25194) overlap: 20
Overlap: Track 315 (25168-25190) & Track 318 (25188-25198) overlap: 2
Overlap: Track 315 (25168-25190) & Track 319 (25188-25198) overlap: 2
Overlap: Track 316 (25168-25194) & Track 317 (25170-25194) overlap: 24
Overlap: Track 316 (25168-25194) & Track 318 (25188-25198) overlap: 6
Overlap: Track 316 (25168-25194) & Track 319 (25188-25198) overlap: 6
Overlap: Track 317 (25170-25194) & Track 318 (25188-25198) overlap: 6
