2026-08-28 12:59:50 [INFO] uvh_test.main: Processing video: /home/users/oauser/mvsa/realrun/test.mp4
2026-08-28 12:59:50 [INFO] uvh_test.detector: Loading YOLO model from /storage/users/oauser/mvsa/models/UVH-26/weights/YOLOv11-S/UVH-26-MV-YOLOv11-S.pt
2026-08-28 12:59:50 [INFO] uvh_test.detector: Loaded 14 classes.
2026-08-28 12:59:50 [INFO] uvh_test.main: Native video FPS: 100.0
2026-08-28 12:59:50 [INFO] uvh_test.main: Configured processing_fps: 30
2026-08-28 12:59:50 [INFO] uvh_test.main: Frames will be skipped to match processing_fps.
2026-08-28 12:59:54 [WARNING] uvh_test.main: OCR failed to extract time from first frame. Using config default.
2026-08-28 12:59:56 [DEBUG] uvh_test.main: frame=4 raw_class=Sedan raw_conf=0.413 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:56 [DEBUG] uvh_test.main: frame=7 raw_class=Sedan raw_conf=0.404 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:56 [DEBUG] uvh_test.main: frame=10 raw_class=Sedan raw_conf=0.405 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:56 [DEBUG] uvh_test.main: frame=14 raw_class=Sedan raw_conf=0.410 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:56 [DEBUG] uvh_test.main: frame=17 raw_class=Sedan raw_conf=0.414 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=20 raw_class=Sedan raw_conf=0.402 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=24 raw_class=Sedan raw_conf=0.387 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=27 raw_class=Sedan raw_conf=0.384 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=30 raw_class=Sedan raw_conf=0.392 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=34 raw_class=Sedan raw_conf=0.394 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=37 raw_class=Sedan raw_conf=0.398 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=40 raw_class=Sedan raw_conf=0.380 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=60 raw_class=Sedan raw_conf=0.372 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=64 raw_class=Sedan raw_conf=0.379 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=67 raw_class=Sedan raw_conf=0.390 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=70 raw_class=Sedan raw_conf=0.389 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=74 raw_class=Sedan raw_conf=0.372 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=77 raw_class=Sedan raw_conf=0.372 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=80 raw_class=Sedan raw_conf=0.379 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=84 raw_class=Sedan raw_conf=0.355 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=87 raw_class=Sedan raw_conf=0.355 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:57 [DEBUG] uvh_test.main: frame=90 raw_class=Sedan raw_conf=0.356 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:58 [DEBUG] uvh_test.main: frame=94 raw_class=Sedan raw_conf=0.356 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:58 [DEBUG] uvh_test.main: frame=97 raw_class=Sedan raw_conf=0.355 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=214 raw_class=Sedan raw_conf=0.423 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=217 raw_class=Sedan raw_conf=0.424 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=220 raw_class=Sedan raw_conf=0.430 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=224 raw_class=Sedan raw_conf=0.425 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=227 raw_class=Sedan raw_conf=0.407 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=230 raw_class=Sedan raw_conf=0.407 kept_by_bytetrack=True track_id=None
2026-08-28 12:59:59 [DEBUG] uvh_test.main: frame=240 raw_class=Sedan raw_conf=0.355 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=244 raw_class=Sedan raw_conf=0.351 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=247 raw_class=Sedan raw_conf=0.356 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=250 raw_class=Sedan raw_conf=0.362 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=254 raw_class=Sedan raw_conf=0.405 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=257 raw_class=Sedan raw_conf=0.383 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=260 raw_class=Sedan raw_conf=0.354 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=264 raw_class=Sedan raw_conf=0.354 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=267 raw_class=Sedan raw_conf=0.351 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=270 raw_class=Sedan raw_conf=0.351 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=274 raw_class=Sedan raw_conf=0.378 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=277 raw_class=Sedan raw_conf=0.376 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=280 raw_class=Sedan raw_conf=0.381 kept_by_bytetrack=True track_id=None
2026-08-28 13:00:00 [DEBUG] uvh_test.main: frame=284 raw_class=Sedan raw_conf=0.379 kept_by_bytetrack=True track_id=None
